exercise_name,category,duration,equipment_needed
Bodyweight Squats,Strength Recovery,3 sets of 10 reps,Foam Roller
Wall Sits,Strength Recovery,30 sec,Mat
IT Band Roll,Foam Rolling,1 min,Pool
Box Breathing,Breathing,1 min,None
Cold Plunge,Hydrotherapy,3 sets of 10 reps,Resistance Band
Shoulder Bridge,Pilates,3 sets of 10 reps,Mat
Quad Roll,Foam Rolling,2 min,Balance Board
Elliptical,Active Recovery,3 sets of 10 reps,Mat
Underwater Stretch,Hydrotherapy,5 min,None
Hot Tub Soak,Hydrotherapy,3 sets of 10 reps,Pool
Quad Stretch,Stretching,2 min,Resistance Band
Box Breathing,Breathing,3 sets of 10 reps,Foam Roller
Quad Roll,Foam Rolling,1 min,Foam Roller
4-7-8 Breathing,Breathing,30 sec,Balance Board
Rolling Like a Ball,Pilates,1 min,Balance Board
Neck Rolls,Mobility,1 min,Foam Roller
Elliptical,Active Recovery,5 min,Resistance Band
Alternate Nostril Breathing,Breathing,30 sec,Pool
Alternate Nostril Breathing,Breathing,3 sets of 10 reps,None
Neck Rolls,Mobility,1 min,Pool
Elliptical,Active Recovery,1 min,Mat
Glute Bridges,Strength Recovery,2 min,Pool
Spine Stretch,Pilates,30 sec,None
Brisk Walk,Active Recovery,2 min,None
Pursed Lip Breathing,Breathing,3 sets of 10 reps,Pool
Spine Stretch,Pilates,2 min,Foam Roller
Hip Openers,Mobility,1 min,Balance Board
Isometric Holds,Strength Recovery,5 min,Mat
Cobra Pose,Yoga,30 sec,Balance Board
Ankle Circles,Mobility,30 sec,Balance Board
Pigeon Pose,Yoga,3 sets of 10 reps,Pool
Pursed Lip Breathing,Breathing,1 min,Foam Roller
Pursed Lip Breathing,Breathing,5 min,Foam Roller
Calf Stretch,Stretching,5 min,None
Leg Swings,Mobility,3 sets of 10 reps,None
Easy Cycling,Active Recovery,1 min,Foam Roller
Spine Stretch,Pilates,2 min,Pool
Arm Swings,Mobility,30 sec,Resistance Band
Quad Roll,Foam Rolling,30 sec,None
Spine Stretch,Pilates,3 sets of 10 reps,Resistance Band
Quad Stretch,Stretching,1 min,Resistance Band
Calf Stretch,Stretching,5 min,Resistance Band
Pursed Lip Breathing,Breathing,2 min,Foam Roller
Hip Openers,Mobility,2 min,Foam Roller
Water Jogging,Hydrotherapy,2 min,Balance Board
Isometric Holds,Strength Recovery,1 min,Balance Board
Cobra Pose,Yoga,1 min,Mat
Hot Tub Soak,Hydrotherapy,2 min,None
Single Leg Stand,Balance,1 min,Resistance Band
Ankle Circles,Mobility,2 min,Mat
Arm Swings,Mobility,5 min,Pool
Downward Dog,Yoga,5 min,Mat
Back Roll,Foam Rolling,2 min,Balance Board
